,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status,circuitId,name,country,year
765,1857,107,22,6,2.0,1,3.0,3,3,6.0,71,24.099,5305550.0,22.0,3.0,01:11.7,216.435,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
766,1858,107,4,4,8.0,8,4.0,4,4,5.0,71,48.508,5329959.0,42.0,9.0,01:12.1,215.097,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
767,1859,107,23,3,4.0,7,5.0,5,5,4.0,71,49.74,5331191.0,23.0,5.0,01:11.8,216.158,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
768,1860,107,11,16,10.0,6,6.0,6,6,3.0,71,50.248,5331699.0,51.0,7.0,01:11.9,215.626,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
769,1861,107,30,6,1.0,18,7.0,7,7,2.0,71,50.626,5332077.0,49.0,4.0,01:11.8,216.161,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
770,1862,107,13,15,12.0,4,8.0,8,8,1.0,71,+1:02.310,5343761.0,68.0,8.0,01:12.1,215.252,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
771,1863,107,21,15,11.0,10,9.0,9,9,0.0,71,+1:03.842,5345293.0,69.0,6.0,01:11.9,215.818,Finished,18,AutÌ_dromo JosÌ© Carlos Pace,Brazil,2004
772,7554,1,18,23,22.0,1,1.0,1,1,10.0,58,34:15.8,5655784.0,17.0,3.0,01:28.0,216.891,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
773,7555,1,22,23,23.0,2,2.0,2,2,8.0,58,0.807,5656591.0,43.0,14.0,01:29.1,214.344,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
774,7556,1,15,7,9.0,20,3.0,3,3,6.0,58,1.604,5657388.0,50.0,10.0,01:28.9,214.706,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
775,7557,1,10,7,10.0,19,4.0,4,4,5.0,58,4.435,5660219.0,53.0,6.0,01:28.4,215.92,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
776,7558,1,4,4,7.0,10,5.0,5,5,4.0,58,4.879,5660663.0,53.0,9.0,01:28.7,215.199,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
777,7559,1,3,3,16.0,5,6.0,6,6,3.0,58,5.722,5661506.0,48.0,1.0,01:27.7,217.668,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
778,7560,1,67,5,12.0,13,7.0,7,7,2.0,58,6.004,5661788.0,34.0,16.0,01:29.2,213.95,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
779,7561,1,7,5,11.0,17,8.0,8,8,1.0,58,6.298,5662082.0,50.0,17.0,01:29.8,212.537,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
780,7562,1,16,10,20.0,16,9.0,9,9,0.0,58,6.335,5662119.0,43.0,11.0,01:28.9,214.64,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
781,7563,1,2,2,6.0,9,10.0,10,10,0.0,58,7.085,5662869.0,48.0,5.0,01:28.3,216.245,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
782,7564,1,21,10,21.0,15,11.0,11,11,0.0,58,7.374,5663158.0,51.0,12.0,01:29.0,214.491,Finished,1,Albert Park Grand Prix Circuit,Australia,2009
783,7574,2,18,23,22.0,1,1.0,1,1,5.0,31,10:52.1,4252092.0,18.0,1.0,01:36.6,206.483,Finished,2,Sepang International Circuit,Malaysia,2009
784,7575,2,2,2,6.0,10,2.0,2,2,4.0,31,22.722,4274814.0,17.0,10.0,01:39.1,201.392,Finished,2,Sepang International Circuit,Malaysia,2009
785,7576,2,10,7,10.0,3,3.0,3,3,3.0,31,23.513,4275605.0,18.0,16.0,01:39.4,200.74,Finished,2,Sepang International Circuit,Malaysia,2009
786,7577,2,15,7,9.0,2,4.0,4,4,2.5,31,46.173,4298265.0,12.0,3.0,01:37.6,204.473,Finished,2,Sepang International Circuit,Malaysia,2009
787,7578,2,22,23,23.0,8,5.0,5,5,2.0,31,47.36,4299452.0,17.0,2.0,01:37.5,204.698,Finished,2,Sepang International Circuit,Malaysia,2009
788,7579,2,17,9,14.0,5,6.0,6,6,1.5,31,52.333,4304425.0,14.0,5.0,01:37.7,204.304,Finished,2,Sepang International Circuit,Malaysia,2009
789,7580,2,1,1,1.0,12,7.0,7,7,1.0,31,+1:00.733,4312825.0,17.0,11.0,01:39.1,201.276,Finished,2,Sepang International Circuit,Malaysia,2009
790,7581,2,3,3,16.0,4,8.0,8,8,0.5,31,+1:11.576,4323668.0,13.0,4.0,01:37.6,204.459,Finished,2,Sepang International Circuit,Malaysia,2009
791,7582,2,13,6,3.0,16,9.0,9,9,0.0,31,+1:16.932,4329024.0,17.0,13.0,01:39.3,201.055,Finished,2,Sepang International Circuit,Malaysia,2009
792,7583,2,7,5,11.0,15,10.0,10,10,0.0,31,+1:42.164,4354256.0,17.0,12.0,01:39.2,201.072,Finished,2,Sepang International Circuit,Malaysia,2009
793,7594,3,20,9,15.0,1,1.0,1,1,10.0,56,57:43.5,7063485.0,42.0,2.0,01:52.6,174.235,Finished,17,Shanghai International Circuit,China,2009
794,7595,3,17,9,14.0,3,2.0,2,2,8.0,56,10.97,7074455.0,42.0,4.0,01:53.0,173.69,Finished,17,Shanghai International Circuit,China,2009
795,7596,3,18,23,22.0,5,3.0,3,3,6.0,56,44.975,7108460.0,44.0,6.0,01:53.5,172.825,Finished,17,Shanghai International Circuit,China,2009
796,7597,3,22,23,23.0,4,4.0,4,4,5.0,56,+1:03.704,7127189.0,42.0,1.0,01:52.6,174.289,Finished,17,Shanghai International Circuit,China,2009
797,7598,3,5,1,2.0,12,5.0,5,5,4.0,56,+1:05.102,7128587.0,41.0,10.0,01:54.5,171.361,Finished,17,Shanghai International Circuit,China,2009
798,7599,3,1,1,1.0,9,6.0,6,6,3.0,56,+1:11.866,7135351.0,39.0,12.0,01:54.7,171.138,Finished,17,Shanghai International Circuit,China,2009
799,7600,3,10,7,10.0,19,7.0,7,7,2.0,56,+1:14.476,7137961.0,42.0,3.0,01:52.7,174.117,Finished,17,Shanghai International Circuit,China,2009
